Номер	слово			звучит		перевод

**********************************ПРЕДЛОГИ****************************************

1.	on			он		на

2.	in			ин		в, во 

3.	above			эбав		над

4.	under			андэ		под

5.	over			ова		сверх, поверху

6.	in the center		ин э сентэ	в центре

7.	in front of		ин фронт оф	впереди

8.	behind			бахаинт		сзади

9.	round the corner	раун зе куна	за углом

10.	opposite		опозэтс		напротив

11.	accross			экрас		через

12.	between			битвин		между (двумя)

13.	among			эман		между (многими)

14.	at			ать		в, у, за, на

15.	for			фоо		для

16.	from			фроум		от

17.	from ... into		фроум ... интю	с ... на

18.	with			виз		с

19.	without			визаут		без

20.	to			ту		в, к (предлог направления)
							без, до (о времени)
21.	of			оф		кого? чего?

22.	by			бай		кем? чем?

23.	close to		клейс тю	близко к

24.	far from		фа фром		далеко от

25.	till			тэлл		до, вплоть до

26.	before			бефоо		до, перед

27.	after			aфта		после

28.	past			паст		после (о времени)

29.	into			интю		в, внутрь

30.	near			ниа		рядом, около

31.	about			эбаут		о, об, около, примерно

32.	nearly			нелей		примерно

33.	next to			некс тю		рядом с

34.	in ... the middle of	ин зе мидл оф	в середине

35.	through			трэй		сквозь, через

**********************************СЛОВА****************************************

36.	art gallery		а галери		картинная галерея

37.	avenue			авени			проспект

38.	Botanical gardens	ботаникал гадэнс	ботанический сад

39.	boulevard		бульвад			бульвар

40.	building		булдэн			здание

41.	castle			казл			замок

42.	cathedral		кефидрол		собор

43.	cave			кейв			пещера

44.	cemetery		сэметри			кладбище

45.	chapel			чапл			часовня

46.	church			чэч			церковь

47.	concert hall		концэт хол		концертный зал

48.	convent			конвэнт			монастырь

49.	docks			докс			пристань

50.	downtown		даунтаун		центр города

51.	exhibition		экзэбишен		выставка

52.	factory			фактри			завод, фабрика

53.	fair			фэа			ярмарка-выставка

54.	fortress		футрэс			крепость

55.	fountain		фаунтин			фонтан

56.	garden			гадэн			сад

57.	harbor			хабэ			гавань, порт

58.	lake			лэйк			озеро

59.	law courts		лю кутс			суд

60.	market			макэт			рынок

61.	memorial		мэмориал		мемориал, памятник

62.	monastery		монастрэй		монастырь 2 

63.	monument		монимэнт		памятник 2 

64.	museum			мьюзиэм			музей

65.	observatory		обзовэтрий		обсерватория

66.	old town		ол таун			старая часть города

67.	opera house		опэр хаус		оперный театр

68.	palace			палэс			дворец

69.	planetarium		планэтериэм		планетарий

70.	ruins			рюэнс			развалины

71.	stadium			стэдиэм			стадион

72.	statue			статчу			статуя

73.	temple			тэмпл			храм

73.	tomb			тиим			могила, усыпальница

74.	tower			тауа			башня

75.	zoo			зею			зоопарк

76.	be			би			быть, находиться

77.	pet			пэт			любимое дом. животное

78.	bed			бэд			кровать, постель

79.	ten			тэн			десять

80.	pen			пэн			ручка

81.	tent			тэнт			палатка

82.	me			ми			мне, меня		

83.	meet			миит			встречать, знакомиться с

84.	mend			мэнд			чинить, ремонтировать

85.	tell			тэлл			сказать, рассказать

86.	bell			бэлл			колокол, звонок

87.	let			лэть			пусть, пускай

88.	lend			лэнд			давать на время, одалживать

89.	beef			бииф			говядина

90.	spend			спэнд			тратить, проводить (время)

91.	bee			бии			пчела

92.	send			сэнд			посылать

93.	see			сии			видеть, смотреть, повидаться с

94.	sleep			слиийп			спать

95.	spell			спэлл			сказать или прочитать по буквам

96.	set			сэт			комплект, набор

97.	step			стэп			шаг, ступенька

98.	steel			стиил			сталь, стальной

99.	test			тэст			испытание, опыт, проверка, проверять

100.	best			бэст			самый лучший

101.	seven			севэн			семь

102.	even			ивэн			даже

